PM 2.5,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity,Max Humidity,Max Pressure,Min Pressure,Precipitation
38,87,75,7,81.5,97,29.42,29.34,0.01
100,96,75,12,58.5,72,29.73,29.57,0
67,100,74,6,58.5,77,29.63,29.5,0
82,103,73,16,46,63,29.57,29.44,0
92,96,79,7,74,93,29.54,29.42,0
85,92,77,7,75.5,97,29.61,29.47,0
102,96,78,12,69,87,29.55,29.42,0
83,99,76,12,61.5,79,29.43,29.31,0
75,94,80,9,74,87,29.48,29.43,0
42,96,79,8,68.5,88,29.57,29.47,0
44,98,79,7,62.5,82,29.62,29.47,0
62,97,79,9,70.5,74,29.62,29.48,0
131,94,76,12,68,84,29.59,29.48,0.01
86,89,74,9,64,73,29.53,29.41,0
89,88,75,9,69,78,29.53,29.46,0.02
66,98,78,6,65.5,84,29.59,29.44,0.01
61,95,80,7,72,86,29.52,29.45,0.03
52,93,80,9,77,95,29.59,29.49,0.63
87,94,80,0,75,94,29.58,29.46,0
36,95,79,0,72.5,91,29.7,29.55,0
95,96,80,2,69.5,87,29.64,29.53,0
44,95,80,4,73,87,29.62,29.5,0
62,96,77,10,69.5,89,29.63,29.57,0.08
32,94,75,17,58.5,71,29.63,29.53,0
84,93,77,12,72,90,29.63,29.54,0.28
58,96,76,13,59,75,29.6,29.49,0
71,97,77,9,59,76,29.62,29.5,0
65,98,79,5,60,79,29.66,29.55,0
74,97,72,16,48.5,66,29.6,29.5,0
87,97,71,16,48,65,29.74,29.63,0
93,98,68,14,44.5,67,29.81,29.73,0
28,97,71,22,49,67,29.75,29.65,0
80,98,69,20,45.5,74,29.75,29.65,0
78,96,70,9,50,75,29.8,29.65,0
87,100,73,6,51,75,29.72,29.55,0
110,99,76,4,54.5,71,29.7,29.57,0
71,96,75,9,60.5,79,29.67,29.53,0
94,95,76,9,60.5,78,29.65,29.52,0.01
63,92,67,16,52,75,29.72,29.63,0
64,93,70,7,57.5,82,29.83,29.75,0
51,95,65,8,49.5,76,29.94,29.83,0
58,98,71,5,58.5,79,29.89,29.74,0
99,94,73,12,66,85,29.85,29.75,0
87,95,73,9,68,88,29.83,29.69,0
98,95,69,8,57,81,29.89,29.78,0
80,95,74,6,63.5,84,29.91,29.8,0
76,94,71,2,63.5,88,30,29.87,0
110,95,69,2,51,88,29.98,29.89,0
154,97,71,6,61,86,29.87,29.76,0
87,92,69,5,63,79,30,29.81,0
158,91,62,10,52.5,74,30.06,29.9,0
101,88,62,5,57.5,81,30.01,29.89,0
111,83,60,4,59.5,80,30.07,29.96,0
125,89,65,2,66,95,30.09,29.93,0
115,89,65,2,62.5,90,29.99,29.83,0
135,86,66,5,69.5,90,29.96,29.85,0
163,84,65,4,71,96,30,29.86,0
56,84,59,12,55,83,30.03,29.9,0
115,84,56,5,53,82,29.93,29.85,0
127,81,52,7,49.5,76,30.06,29.96,0
236,81,54,5,57,86,30.13,30,0
161,81,54,0,60,98,30.06,29.92,0
126,81,54,8,59.5,90,30.08,29.94,0
122,73,56,5,65,87,29.9,29.81,0
