Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
14.9,88,36,6,34.5
21.8,89,46,6,48
26.8,83,54,6,64
22,89,51,7,55.5
15.3,94,45,0,43.5
19.6,90,52,6,53
17.6,84,53,9,51
14.7,85,55,8,50
10.6,79,53,8,56.5
6.7,72,56,10,71.5
8.5,70,54,8,65.5
4.8,70,50,13,57
8.2,75,38,9,39.5
8.6,80,26,5,28.5
11.1,85,40,10,34
7.2,85,45,8,45
3.3,69,46,13,56
8.6,69,46,10,54.5
13.1,71,47,8,58.5
20,78,48,9,54.5
32.8,84,50,6,54
19.3,89,48,6,49
39.9,93,36,6,39.5
78.3,88,32,5,26
26.3,91,31,7,27.5
19.5,89,39,7,38.5
20.7,84,48,8,51
32.9,78,50,7,57.5
19.5,86,41,5,37.5
34.4,82,46,6,51
50,69,52,7,66.5
26.8,73,50,10,66
16.7,76,52,8,61
7,66,55,12,75
7.7,69,52,9,70.5
19.8,68,52,7,69
30.6,71,52,7,68
33.2,73,52,6,67
28.3,77,52,5,63
54.5,65,52,6,74.5
59.9,68,50,6,63.5
24.1,68,50,6,62.5
8.9,79,45,7,50
9.4,57,41,9,61
9.4,57,41,9,61
4.7,59,47,13,71
4.7,59,47,13,71
6.1,57,27,14,51.5
6.1,57,27,14,51.5
9.1,61,24,6,37.5
9.1,61,24,6,37.5
7.2,68,26,8,31.5
7.2,68,26,8,31.5
8.2,76,32,8,37
8.2,76,32,8,37
15.8,76,38,6,49
15.8,76,38,6,49
40.5,68,47,6,69
40.5,68,47,6,69
69.4,68,46,6,67.5
59.7,55,46,8,79.5
29.8,64,45,7,61.5
20,66,28,6,47.5
13,62,28,6,40.5
23.9,65,40,7,58
32.8,71,43,7,58
36.5,68,47,8,65.5
46.2,72,46,6,57
20,75,29,6,41.5
10.7,83,27,6,28
13,88,30,6,27
13.2,85,35,6,32
8.5,86,27,7,29
10.5,85,25,7,24.5
13.1,83,29,6,31
10,82,29,7,31.5
6.6,84,25,9,21.5
7.8,83,27,6,20
8.6,85,30,8,21.5
15.1,78,39,6,38.5
17.8,73,45,8,42.5
12.3,66,55,7,70
7.8,65,53,7,74.5
10.2,64,46,8,65.5
6.8,63,34,9,53
10.4,68,24,8,38
8.9,75,26,6,33.5
11.4,80,31,7,35
11.5,80,29,6,34
11.7,79,31,8,38
25.9,71,46,8,58
12.2,82,28,8,43
9.4,83,25,6,22
8,80,26,8,30.5
8.6,64,51,12,58
5.6,61,52,8,76.5
5.4,60,45,9,68
9.3,60,45,9,67
13.1,60,38,8,60
7.4,61,38,12,59
8.1,56,41,9,71
11.7,58,37,9,66
16.5,61,38,7,58
