Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
2,78,58,5,69
2,67,54,9,81.5
2,67,49,8,72.5
2,76,58,9,67.5
2,71,55,8,77
2,73,56,8,67.5
2,64,48,8,72.5
2,65,57,7,83
2,78,58,8,69
2,72,57,7,72.5
2,81,49,7,63
2,72,53,9,71
2,75,56,8,76.5
2,82,49,6,51
2,91,31,7,27.5
2,90,62,7,65.5
2,73,55,8,70.5
2,79,55,9,59
2,88,52,7,52
2,77,57,9,72
2,69,37,7,53
2,80,60,9,67.5
2,80,50,7,61.5
2,77,59,8,72
2,84,53,10,57.5
2,63,45,9,66
2,62,37,29,47
2,72,54,9,73
2,94,62,12,54
2,60,48,7,80
2,71,46,8,58
2,69,55,9,77
2,68,53,4,71.5
2,85,55,7,58.5
2,80,59,7,71
2,71,59,7,80.5
2,73,53,7,70
2,65,52,8,71.5
2,70,54,7,70.5
2,67,48,8,68.5
2,75,56,9,68.5
2,86,64,10,67.5
2,86,62,9,63.5
2,87,56,8,56.5
2,78,59,8,73
2,82,61,8,69
2,66,40,7,55.5
2,88,59,6,68
2,83,59,8,72
2,64,48,9,72.5
2,70,51,9,71
2,77,58,9,70.5
2,69,54,8,75
2,84,54,6,63
2,67,47,7,67.5
2,75,41,8,56
2,83,46,10,50.5
2,79,59,9,71
2,77,61,9,80
2,72,54,9,67.5
2,80,52,8,57.5
2,66,53,8,78
2,65,48,10,69.5
2,71,50,10,62
2,77,58,10,73.5
2,75,50,10,61
2,72,50,9,62
2,75,57,7,67.5
2,77,57,8,75.5
2,67,49,9,69.5
2,70,56,9,76
2,77,59,9,75
2,81,57,8,66
2,80,61,9,70.5
2,71,51,8,68.5
2,86,57,9,63
2,74,51,8,62
2,75,52,9,69.5
2,73,58,7,69.5
2,69,55,8,74.5
1,73,52,8,64.5
1,80,60,9,69.5
1,68,53,7,71
1,71,51,8,70
1,80,54,8,62.5
1,76,41,7,42
1,79,58,8,64
1,78,59,8,66
1,78,58,10,66
1,62,50,6,70
1,77,47,8,55.5
1,77,61,6,75.5
1,90,63,8,65
1,76,58,9,73.5
1,72,50,8,68
1,88,59,6,56
1,79,51,9,55.5
1,62,50,7,81
1,91,62,10,62.5
1,100,57,9,48
1,75,51,9,65
1,80,57,8,66
1,79,59,8,70
1,76,57,9,70
1,83,63,8,68
1,85,62,8,70.5
1,74,55,10,68.5
1,72,53,7,66
1,77,58,10,69
1,74,53,9,68
1,77,46,7,56.5
1,73,55,8,75
1,82,58,9,67.5
1,85,56,8,61.5
1,73,52,10,64
1,80,58,10,66
1,76,58,5,69
1,79,57,6,68
1,82,45,8,52.5
1,95,44,9,36
1,85,62,8,65
1,79,61,8,70.5
1,68,50,6,62.5
1,80,56,10,67.5
1,79,60,9,70.5
1,77,61,9,73.5
1,80,60,7,71
1,84,60,8,68.5
1,101,46,10,37.5
1,79,56,7,73.5
1,74,58,8,72.5
1,79,57,8,66
1,65,40,7,58
1,67,47,8,68.5
1,75,55,9,70
1,81,60,9,69.5
1,76,60,10,75.5
