Avg PM2.5,Avg Max Temp,Avg Dew Temp,Avg Wind Speed,Avg Humidity
2,64,40,6.571428571,60.5
2,72.71428571,54.85714286,8,73.07142857
2,74.85714286,51.14285714,7.428571429,65.21428571
2,73,51.28571429,8.285714286,67.42857143
2,77.57142857,58.28571429,8.285714286,71.78571429
2,68.57142857,49.71428571,8.857142857,69.78571429
2,84.42857143,61.71428571,9,67.5
2,70.57142857,39.14285714,6.714285714,56.64285714
2,74.28571429,48.57142857,8.428571429,66.78571429
2,74.28571429,50.85714286,7.428571429,64.21428571
2,77.42857143,57.85714286,8.428571429,68.5
2,71.71428571,47.42857143,8,61.78571429
2,75.42857143,54.71428571,8.857142857,67.5
2,95.85714286,60.28571429,8.571428571,53.21428571
2,77.71428571,57.14285714,8.714285714,69
2,73.57142857,59.14285714,7.142857143,71.57142857
2,66,45.28571429,8.285714286,66.35714286
2,69,48.14285714,7.714285714,66.64285714
2,78.85714286,59,8.428571429,70.07142857
2,78,59,9.142857143,71.28571429
2,75.14285714,56.85714286,9.428571429,70.57142857
2,66.71428571,53.28571429,7.428571429,80.07142857
2,75.42857143,46.57142857,7.857142857,60.42857143
2,74.28571429,37.57142857,6,53
2,73.28571429,40.85714286,7,54
2,79.85714286,58.42857143,8.428571429,68.42857143
1,78.28571429,55,8.571428571,65
1,81,61.28571429,8.714285714,69.14285714
1,77.42857143,36.71428571,6.428571429,44.14285714
1,78.42857143,61.42857143,9.285714286,75.64285714
1,67.42857143,54.71428571,7,80.57142857
1,70.42857143,47.57142857,5.714285714,64.35714286
1,78.14285714,51.57142857,7.285714286,61.92857143
1,78.71428571,55.85714286,8.142857143,65.78571429
1,72.28571429,50.71428571,8.714285714,64.5
1,75.71428571,57.28571429,8.857142857,69.21428571
1,83.28571429,52.71428571,8.142857143,59.35714286
1,80.28571429,59.14285714,8.142857143,68.71428571
1,76.14285714,49.85714286,8.142857143,60.57142857
1,77.85714286,54.14285714,9.142857143,62.42857143
1,79.71428571,56.14285714,9,62.57142857
1,75.71428571,40.85714286,6,56.5
1,75.14285714,56.85714286,9,69.57142857
1,65.28571429,47.28571429,8.285714286,67.92857143
1,90.71428571,58.28571429,8.142857143,58.5
1,81.42857143,59.14285714,8.285714286,68.14285714
1,90.28571429,55.85714286,9.142857143,55.28571429
1,70.71428571,39.71428571,7.142857143,53
1,80.57142857,59.42857143,8.571428571,68.57142857
1,75.14285714,55.14285714,8.857142857,67.5
1,78.28571429,57.71428571,8.857142857,69.64285714
1,73,53.71428571,9.285714286,65.64285714
1,84,62.71428571,8.714285714,66.71428571
1,87.28571429,62,8.428571429,65.85714286
1,72.85714286,48.71428571,8.285714286,60
1,82.85714286,56.71428571,7.857142857,61.21428571
1,90.28571429,60.14285714,9.571428571,56.57142857
1,86.85714286,61.85714286,8.857142857,62.21428571
1,65.14285714,37.57142857,8.142857143,54.07142857
1,76.85714286,44.28571429,7.428571429,54.35714286
1,73.57142857,51.57142857,10,62.14285714
1,78,48.57142857,9,60.78571429
1,77.57142857,57.28571429,7,68.71428571
1,74,47.57142857,6.571428571,63.85714286
1,78.71428571,59.28571429,9,68.57142857
1,88,61.57142857,7.857142857,61.92857143
1,77.28571429,58.57142857,8.285714286,73.57142857
1,77.85714286,37.57142857,6,46.92857143
1,78.57142857,57.28571429,8.571428571,66.14285714
1,72.14285714,51,9.428571429,64.07142857
1,86.71428571,57.71428571,8,59.92857143
1,86.85714286,59.57142857,8.142857143,57.78571429
1,71.71428571,52.85714286,8.857142857,67.92857143
1,73.28571429,48,7.571428571,63.14285714
1,77.14285714,55.71428571,9.142857143,65.21428571
1,64.14285714,47.85714286,8.714285714,70.28571429
1,79.85714286,57.14285714,8.714285714,63.35714286
1,79.28571429,57.42857143,9,68.85714286
1,70.14285714,52.14285714,10.14285714,72.35714286
1,77.14285714,57.42857143,8.428571429,66.64285714
1,83.42857143,61.28571429,9.714285714,66.78571429
1,85,60.85714286,9.285714286,65.92857143
1,77.71428571,54.85714286,9.142857143,63.85714286
1,66.57142857,45.28571429,7.857142857,62.14285714
1,78,41.14285714,10,47.14285714
1,79,54.14285714,8.571428571,67.35714286
1,81.42857143,56.42857143,8.142857143,62.64285714
1,80.14285714,32.85714286,4,40.28571429
1,77.28571429,51.85714286,9,59
1,76.85714286,50.42857143,7.285714286,62.71428571
1,83.28571429,58,9,65.07142857
1,90.28571429,61,9,57.35714286
1,75.42857143,54.57142857,10.42857143,65.07142857
1,82.42857143,55,8.142857143,56.21428571
1,76.71428571,55.71428571,9,65.78571429
1,77.57142857,50.14285714,9.428571429,60.35714286
1,75.14285714,56.42857143,8.857142857,66.64285714
1,69.71428571,52.57142857,10,74.14285714
1,82.42857143,42.42857143,7.428571429,47.5
1,68.85714286,48.85714286,10.14285714,66.42857143
1,79.57142857,46,7.571428571,54.71428571
1,71.57142857,45.71428571,8.857142857,58.07142857
1,79,59.85714286,8.571428571,70.57142857
1,80.14285714,55.57142857,7.428571429,67.14285714
1,72.57142857,52.71428571,9.857142857,65.57142857
1,70.71428571,55.57142857,8.571428571,73
1,70.28571429,38.42857143,7,52.35714286
1,75.14285714,56.85714286,7.857142857,68.28571429
1,86.28571429,61.14285714,8.285714286,62
1,86.85714286,58.85714286,9.142857143,59.42857143
1,85.85714286,57.85714286,8.714285714,60.57142857
1,76.42857143,57.42857143,8.285714286,70.14285714
1,80.85714286,56,7.428571429,61.35714286
1,67.14285714,50.42857143,10,69.57142857
1,74,39.42857143,7.285714286,50.71428571
1,67.71428571,55.28571429,7.428571429,79.92857143
1,69.42857143,40.14285714,10.57142857,53.07142857
1,64,49.57142857,7.714285714,74.5
1,60.28571429,32.71428571,8.714285714,55.14285714
1,70.14285714,41.28571429,23.42857143,53.85714286
1,80.14285714,59,8.571428571,69.78571429
1,75.85714286,56.42857143,9.285714286,68.64285714
1,72.42857143,42.57142857,7.142857143,53.14285714
1,75.14285714,38.42857143,7.142857143,49.42857143
1,65.57142857,45.57142857,7.142857143,65.07142857
1,67.14285714,35.85714286,7.714285714,54.14285714
1,72.85714286,45,9.285714286,57
1,58.57142857,40.42857143,33.28571429,60.35714286
1,83.57142857,58.57142857,8,60.78571429
1,75.85714286,35,6.571428571,47.42857143
1,87.85714286,49,8.571428571,49.57142857
1,83.85714286,61.57142857,8.571428571,66.57142857
1,75.57142857,40.28571429,7,47.92857143
1,79.57142857,56,8.571428571,64.21428571
1,81,61,10.28571429,67.28571429
1,84.42857143,55,5.857142857,54.5
1,84.57142857,60.14285714,8.428571429,66.28571429
1,88.42857143,55.28571429,10.42857143,54.64285714
1,76.28571429,49,7.714285714,60.28571429
1,77.85714286,46.85714286,11,52.28571429
1,73.85714286,55,8.571428571,68.71428571
1,80,59.57142857,8.857142857,71.71428571
1,86.57142857,63.28571429,8.428571429,66.42857143
1,79.28571429,58.71428571,8,67.92857143
1,72.71428571,52.14285714,8.285714286,66.07142857
1,95.28571429,53.42857143,7.428571429,45.07142857
1,83,62.14285714,8.285714286,70.42857143
1,68.42857143,29.85714286,7.428571429,46.21428571
1,81.42857143,60.85714286,9,67.5
1,74.28571429,52.14285714,7.714285714,69.92857143
1,64.57142857,35.57142857,9.285714286,53.21428571
1,66.57142857,28.85714286,6.857142857,44.78571429
1,70.57142857,44.57142857,6.857142857,58.28571429
1,73,51.28571429,9.285714286,61.57142857
1,91.42857143,55,7.142857143,48.42857143
1,83.85714286,60.71428571,9.142857143,64.5
1,69.42857143,47.14285714,9,63.92857143
1,82.28571429,59.57142857,9.428571429,65.64285714
1,78.42857143,49.28571429,7.857142857,57.85714286
1,82.85714286,51.28571429,8.142857143,56.78571429
1,78.42857143,43.57142857,8.285714286,53.21428571
1,66.42857143,46.85714286,7.857142857,68.14285714
1,74.14285714,53.71428571,8.857142857,67.85714286
1,79,44.71428571,10,51.64285714
